section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-024071,NON-351C774317,64b9052a88bab013,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-F08A23,NON-B8AD8F1560,825209e053e35f2f,approved,PKT-024071,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-8294EA,NON-932A9D56CC,f2b8a3edf6409290,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-455FE7,NON-3DB0DD4377,58d5fedbe1e4010b,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-024071,,,,,,3,B1,boolean_gate,BOL-37F9EB12,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-024071,,,,,,3,B1,boolean_gate,BOL-E0FF8649,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-024071,,,,,,3,B1,boolean_gate,BOL-F66AFAB7,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-024071,,,,,,3,B1,boolean_gate,BOL-F83D47CE,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-024071,,,,,,3,L1,list_action,LST-68CE35AB,final,,,,include,EXCIDS-04-51,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,L1,list_action,LST-7EBFC314,final,,,,include,EXCIDS-04-59,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,L1,list_action,LST-BDC07326,final,,,,include,EXCIDS-04-17,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,L1,list_action,LST-C4489408,final,,,,remove,EXCIDS-04-DECOY,EXCIDS-04-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-024071,,,,,,3,L1,list_action,LST-E19AF753,final,,,,include,EXCIDS-04-47,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,L2,list_action,LST-04FCEABB,final,,,,remove,CUR-04-DECOY,CUR-04-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-024071,,,,,,3,L2,list_action,LST-7CEBBDE0,final,,,,include,CAD,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,L2,list_action,LST-AEBBE7AC,final,,,,include,GBP,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,L2,list_action,LST-B1722A1F,final,,,,include,AUD,,,,,,,,,include unless a later remove or alias targets it
record,PKT-024071,,,,,,3,N1,numeric_delta,NUM-1A2B633D,final,subtract,953,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-024071,,,,,,3,N1,numeric_delta,NUM-3D5F7E9B,final,add,2237,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-024071,,,,,,3,N1,numeric_delta,NUM-58D7FCD0,final,add,2746,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-024071,,,,,,3,N1,numeric_delta,NUM-5F1C02C0,final,subtract,2115,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-024071,,,,,,3,N1,numeric_delta,NUM-D3A79A03,final,add,1847,100,,,,,,,,,,,apply signed amount_minor divided by scale
