section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-EB0CA6,NON-4C96BA05A7,ef24a21c23895326,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-A0A15E,NON-44B02010F7,d334861ce95b95ec,approved,PKT-EB0CA6,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-7847E6,NON-138930E972,b96131aabc6b19b0,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-220F2C,NON-1B87F5EF94,9cf796257a1a94b9,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-220F2C,,,,,,1,L1,list_action,NOI-0D77F190,final,,,,include,NORSKU-04-93,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L1,list_action,NOI-2F501B71,final,,,,include,NORSKU-04-75,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,L1,list_action,NOI-54E201A7,draft,,,,include,NORSKU-04-89,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L1,list_action,NOI-7112493E,final,,,,include,NORSKU-04-73,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,L1,list_action,NOI-85AE437E,draft,,,,include,NORSKU-04-34,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L2,list_action,NOI-0944F6E0,final,,,,include,REFIDS-04-15,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,L2,list_action,NOI-3B25833C,draft,,,,include,REFIDS-04-85,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L2,list_action,NOI-5CEAA9D1,final,,,,include,REFIDS-04-64,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,L2,list_action,NOI-93DB45AD,draft,,,,include,REFIDS-04-80,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L2,list_action,NOI-F3CC30BE,final,,,,include,REFIDS-04-97,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,L3,list_action,NOI-48763D7B,draft,,,,include,POLVIO-04-13,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L3,list_action,NOI-4B2C5812,final,,,,include,POLVIO-04-30,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L3,list_action,NOI-8A59489D,final,,,,include,POLVIO-04-72,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,L3,list_action,NOI-A8340181,draft,,,,include,POLVIO-04-90,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,L3,list_action,NOI-CEBBCBBC,final,,,,include,POLVIO-04-54,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,N1,numeric_delta,NOI-0E51D5FE,draft,add,5253,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,N1,numeric_delta,NOI-235D2558,final,add,7722,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,2,N1,numeric_delta,NOI-445902AD,draft,add,8474,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,N1,numeric_delta,NOI-D88453EB,final,add,2003,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-220F2C,,,,,,1,N1,numeric_delta,NOI-EC65BB33,final,add,6597,100,,,,,,,,,,,decoy from unselected or invalid packet
