timestamp,db_host,query_type,avg_latency_ms,p95_latency_ms,p99_latency_ms,qps,slow_query_count
2024-03-20T00:00:00,pg-primary,SELECT,4.4,15.3,28.7,52,0
2024-03-20T00:00:00,pg-primary,INSERT,11.1,35.1,57.9,14,0
2024-03-20T00:00:00,pg-primary,UPDATE,9.5,30.6,58.8,14,0
2024-03-20T00:00:00,pg-replica,SELECT,4.3,11.4,18.5,63,0
2024-03-20T00:00:00,pg-replica,INSERT,11.3,31.2,61.1,16,0
2024-03-20T00:00:00,pg-replica,UPDATE,12.1,33.0,69.0,15,0
2024-03-20T00:05:00,pg-primary,SELECT,5.1,13.1,27.5,60,0
2024-03-20T00:05:00,pg-primary,INSERT,9.1,30.2,46.7,14,0
2024-03-20T00:05:00,pg-primary,UPDATE,11.2,28.3,66.7,14,0
2024-03-20T00:05:00,pg-replica,SELECT,4.7,11.9,22.8,73,0
2024-03-20T00:05:00,pg-replica,INSERT,11.3,35.3,77.3,13,0
2024-03-20T00:05:00,pg-replica,UPDATE,10.5,32.3,78.5,16,0
2024-03-20T00:10:00,pg-primary,SELECT,5.2,15.0,28.2,66,0
2024-03-20T00:10:00,pg-primary,INSERT,9.2,24.3,53.2,15,0
2024-03-20T00:10:00,pg-primary,UPDATE,11.2,33.9,74.4,14,0
2024-03-20T00:10:00,pg-replica,SELECT,4.9,17.1,34.0,52,0
2024-03-20T00:10:00,pg-replica,INSERT,7.8,27.3,48.8,14,0
2024-03-20T00:10:00,pg-replica,UPDATE,6.8,19.4,31.6,14,0
2024-03-20T00:15:00,pg-primary,SELECT,4.8,14.9,29.8,64,0
2024-03-20T00:15:00,pg-primary,INSERT,9.3,23.2,35.4,11,0
2024-03-20T00:15:00,pg-primary,UPDATE,9.6,32.3,74.3,17,0
2024-03-20T00:15:00,pg-replica,SELECT,4.7,14.7,22.2,67,0
2024-03-20T00:15:00,pg-replica,INSERT,10.8,35.5,64.1,14,0
2024-03-20T00:15:00,pg-replica,UPDATE,11.5,32.7,72.8,15,0
2024-03-20T00:20:00,pg-primary,SELECT,4.9,13.2,24.1,55,0
2024-03-20T00:20:00,pg-primary,INSERT,11.5,36.3,72.0,14,0
2024-03-20T00:20:00,pg-primary,UPDATE,8.5,25.8,47.3,15,0
2024-03-20T00:20:00,pg-replica,SELECT,5.0,13.9,30.9,49,0
2024-03-20T00:20:00,pg-replica,INSERT,11.1,30.2,65.9,16,0
2024-03-20T00:20:00,pg-replica,UPDATE,8.4,23.4,35.8,18,0
2024-03-20T00:25:00,pg-primary,SELECT,4.9,16.5,34.1,54,0
2024-03-20T00:25:00,pg-primary,INSERT,11.1,35.6,64.6,13,0
2024-03-20T00:25:00,pg-primary,UPDATE,10.2,30.6,53.1,11,0
2024-03-20T00:25:00,pg-replica,SELECT,5.1,13.3,30.4,65,0
2024-03-20T00:25:00,pg-replica,INSERT,7.8,23.0,35.1,13,0
2024-03-20T00:25:00,pg-replica,UPDATE,10.8,35.0,70.9,18,0
2024-03-20T00:30:00,pg-primary,SELECT,4.7,15.9,37.0,68,0
2024-03-20T00:30:00,pg-primary,INSERT,11.1,32.8,72.6,17,0
2024-03-20T00:30:00,pg-primary,UPDATE,10.0,34.3,75.0,14,0
2024-03-20T00:30:00,pg-replica,SELECT,4.8,14.6,31.6,60,0
