timestamp,device,read_mbps,write_mbps,read_iops,write_iops,util_pct,await_ms
2024-03-20T00:00:00,/dev/sda,6.0,5.5,110,46,2.9,116.28
2024-03-20T00:00:00,/dev/sdb,7.3,5.0,123,49,3.0,64.38
2024-03-20T00:05:00,/dev/sda,7.0,4.3,137,54,2.9,55.13
2024-03-20T00:05:00,/dev/sdb,5.8,4.4,80,42,2.0,103.37
2024-03-20T00:10:00,/dev/sda,6.5,5.7,75,58,2.7,132.05
2024-03-20T00:10:00,/dev/sdb,7.6,4.8,93,51,2.8,159.94
2024-03-20T00:15:00,/dev/sda,7.6,5.2,118,48,2.7,60.46
2024-03-20T00:15:00,/dev/sdb,8.6,4.7,99,64,3.1,146.04
2024-03-20T00:20:00,/dev/sda,8.6,5.3,89,44,4.0,118.75
2024-03-20T00:20:00,/dev/sdb,7.2,4.6,72,61,3.0,164.96
2024-03-20T00:25:00,/dev/sda,6.9,5.0,80,71,2.5,85.83
2024-03-20T00:25:00,/dev/sdb,7.6,5.3,146,53,3.4,125.26
2024-03-20T00:30:00,/dev/sda,8.2,4.7,144,71,3.3,118.84
2024-03-20T00:30:00,/dev/sdb,6.1,5.3,113,46,3.0,99.61
2024-03-20T00:35:00,/dev/sda,7.1,5.1,74,75,2.7,123.17
2024-03-20T00:35:00,/dev/sdb,8.5,4.4,160,40,3.1,82.73
2024-03-20T00:40:00,/dev/sda,8.2,5.3,121,43,3.5,41.41
2024-03-20T00:40:00,/dev/sdb,7.2,5.1,97,46,3.3,113.73
2024-03-20T00:45:00,/dev/sda,7.8,5.5,153,48,3.7,105.22
2024-03-20T00:45:00,/dev/sdb,7.8,5.4,150,73,3.3,110.90
2024-03-20T00:50:00,/dev/sda,7.3,4.2,114,47,3.2,89.90
2024-03-20T00:50:00,/dev/sdb,7.7,5.5,119,47,3.4,76.83
2024-03-20T00:55:00,/dev/sda,7.5,4.2,110,55,2.5,94.86
2024-03-20T00:55:00,/dev/sdb,7.7,5.0,154,52,2.9,80.62
2024-03-20T01:00:00,/dev/sda,7.9,4.4,96,52,2.9,158.93
2024-03-20T01:00:00,/dev/sdb,6.5,5.0,124,68,2.6,116.50
