timestamp,interface,rx_mbps,tx_mbps,rx_packets_k,tx_packets_k,errors,drops
2024-03-20T00:00:00,eth0,10.6,4.2,0.9,0.4,0,0
2024-03-20T00:00:00,eth1,9.1,3.2,0.8,0.3,0,0
2024-03-20T00:05:00,eth0,10.2,3.2,1.1,0.3,0,0
2024-03-20T00:05:00,eth1,10.7,4.5,1.0,0.5,0,0
2024-03-20T00:10:00,eth0,7.4,3.0,0.7,0.3,0,0
2024-03-20T00:10:00,eth1,10.1,4.3,1.0,0.5,0,0
2024-03-20T00:15:00,eth0,8.1,2.8,0.7,0.3,0,0
2024-03-20T00:15:00,eth1,11.8,4.1,1.2,0.4,5,0
2024-03-20T00:20:00,eth0,9.5,4.4,0.9,0.4,0,0
2024-03-20T00:20:00,eth1,8.4,3.8,1.0,0.3,0,0
2024-03-20T00:25:00,eth0,6.6,2.6,0.6,0.3,0,0
2024-03-20T00:25:00,eth1,13.8,6.4,1.6,0.8,0,0
2024-03-20T00:30:00,eth0,12.8,4.1,1.4,0.3,0,0
2024-03-20T00:30:00,eth1,11.8,4.6,1.1,0.5,0,0
2024-03-20T00:35:00,eth0,10.2,4.1,0.9,0.3,0,0
2024-03-20T00:35:00,eth1,11.3,5.2,1.3,0.6,0,0
2024-03-20T00:40:00,eth0,13.0,4.5,1.5,0.4,0,0
2024-03-20T00:40:00,eth1,8.9,2.8,1.0,0.2,0,0
2024-03-20T00:45:00,eth0,10.2,3.4,1.2,0.3,2,0
2024-03-20T00:45:00,eth1,7.6,3.1,0.6,0.3,0,0
2024-03-20T00:50:00,eth0,10.8,3.5,1.2,0.4,0,0
2024-03-20T00:50:00,eth1,10.3,3.6,0.9,0.3,0,0
2024-03-20T00:55:00,eth0,10.0,3.8,0.8,0.4,0,0
2024-03-20T00:55:00,eth1,9.4,3.6,1.0,0.3,0,0
2024-03-20T01:00:00,eth0,11.3,4.8,1.2,0.5,0,0
2024-03-20T01:00:00,eth1,9.5,3.6,1.0,0.4,0,0
2024-03-20T01:05:00,eth0,8.8,3.2,0.9,0.3,0,0
2024-03-20T01:05:00,eth1,9.2,3.3,0.8,0.3,0,0
2024-03-20T01:10:00,eth0,11.8,5.4,1.3,0.6,0,0
2024-03-20T01:10:00,eth1,12.4,3.8,1.1,0.4,0,0
2024-03-20T01:15:00,eth0,7.0,2.7,0.7,0.2,0,0
2024-03-20T01:15:00,eth1,10.7,5.2,1.0,0.4,0,0
2024-03-20T01:20:00,eth0,9.1,3.8,0.9,0.4,0,0
