section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-A61081,NON-004E7E1AF4,85440a480b95270d,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-E35077,NON-14D189CECC,e07cf2fbb1b02c60,approved,PKT-A61081,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-A09125,NON-86A0C8B945,9e826c63e4235360,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-7DF851,NON-A34670E9DB,27520ba0f325a43c,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-7DF851,,,,,,1,B1,boolean_gate,NOI-1F7A6992,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,B1,boolean_gate,NOI-2006A638,draft,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,B1,boolean_gate,NOI-22EAAE12,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,B1,boolean_gate,NOI-7C93264B,draft,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,B1,boolean_gate,NOI-9A9DF04F,final,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,L1,list_action,NOI-2D057DB7,final,,,,include,EXCIDS-02-105,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,L1,list_action,NOI-8219E372,final,,,,include,EXCIDS-02-48,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,L1,list_action,NOI-A2480E99,draft,,,,include,EXCIDS-02-95,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,L1,list_action,NOI-A4FB81D0,final,,,,include,EXCIDS-02-81,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,L1,list_action,NOI-FD7CE005,draft,,,,include,EXCIDS-02-46,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,L2,list_action,NOI-0496A9E8,final,,,,include,CHF,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,L2,list_action,NOI-8B564FB8,draft,,,,include,JPY,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,L2,list_action,NOI-A992DE3F,final,,,,include,GBP,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,L2,list_action,NOI-AF921B70,draft,,,,include,USD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,L2,list_action,NOI-D30A3653,final,,,,include,CAD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,N1,numeric_delta,NOI-13683D5B,final,add,1889,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,N1,numeric_delta,NOI-2D4CF739,final,add,4156,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,N1,numeric_delta,NOI-57E958FC,draft,add,2988,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,N1,numeric_delta,NOI-79C180D8,draft,add,1088,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,N1,numeric_delta,NOI-9A65604F,final,add,289,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,N2,numeric_delta,NOI-00DB0E3B,final,add,7974,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,N2,numeric_delta,NOI-0A9AD506,draft,add,5862,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,N2,numeric_delta,NOI-19058D89,final,add,2929,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,2,N2,numeric_delta,NOI-1C10F5CF,draft,add,8057,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-7DF851,,,,,,1,N2,numeric_delta,NOI-9513DCD6,final,add,243,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,B1,boolean_gate,NOI-3E8BA9EE,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,B1,boolean_gate,NOI-51B8B543,draft,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,B1,boolean_gate,NOI-92E2CA19,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,B1,boolean_gate,NOI-B11905A4,final,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,B1,boolean_gate,NOI-CB1F314D,draft,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,L1,list_action,NOI-03D1B121,final,,,,include,EXCIDS-02-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,L1,list_action,NOI-6307CE23,draft,,,,include,EXCIDS-02-57,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,L1,list_action,NOI-696DDC74,draft,,,,include,EXCIDS-02-13,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,L1,list_action,NOI-DA003A71,final,,,,include,EXCIDS-02-66,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,L1,list_action,NOI-DF292A74,final,,,,include,EXCIDS-02-69,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,L2,list_action,NOI-06C109AC,final,,,,include,JPY,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,L2,list_action,NOI-148352B1,draft,,,,include,JPY,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,L2,list_action,NOI-22A2A4AB,final,,,,include,GBP,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,L2,list_action,NOI-26E669AA,draft,,,,include,CAD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,L2,list_action,NOI-C12D9202,final,,,,include,EUR,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,N1,numeric_delta,NOI-0E1F1E0E,final,add,5395,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,N1,numeric_delta,NOI-153FF1EE,final,add,5134,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,1,N1,numeric_delta,NOI-4426C47E,final,add,9080,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,N1,numeric_delta,NOI-463CC85A,draft,add,636,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-A09125,,,,,,2,N1,numeric_delta,NOI-DE0F7615,draft,add,7710,100,,,,,,,,,,,decoy from unselected or invalid packet
