section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-51BD68,NON-D53FD71C30,c084a25d5c105d8b,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-422E6F,NON-FE8ADB5E90,a046d5623267dc4f,approved,PKT-51BD68,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-4062C0,NON-04CCED6E5B,0d213e488da55a80,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-57A56B,NON-56B7599237,d9f17c17673003d2,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-4062C0,,,,,,1,L1,list_action,NOI-3CF50A59,final,,,,include,NORSKU-04-107,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L1,list_action,NOI-A7E8AE11,final,,,,include,NORSKU-04-18,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,L1,list_action,NOI-CB14072C,draft,,,,include,NORSKU-04-28,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L1,list_action,NOI-DACB99C8,final,,,,include,NORSKU-04-97,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,L1,list_action,NOI-F41D0FE1,draft,,,,include,NORSKU-04-39,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L2,list_action,NOI-1283AA3D,final,,,,include,REFIDS-04-15,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L2,list_action,NOI-9D540516,final,,,,include,REFIDS-04-61,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L2,list_action,NOI-A3B1A516,final,,,,include,REFIDS-04-91,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,L2,list_action,NOI-E425936D,draft,,,,include,REFIDS-04-28,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,L2,list_action,NOI-F56BF22C,draft,,,,include,REFIDS-04-39,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L3,list_action,NOI-690A1379,final,,,,include,POLVIO-04-34,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L3,list_action,NOI-9289B128,final,,,,include,POLVIO-04-90,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,L3,list_action,NOI-B3B581D3,draft,,,,include,POLVIO-04-49,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,L3,list_action,NOI-E9D729B4,draft,,,,include,POLVIO-04-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,L3,list_action,NOI-F6AA9818,final,,,,include,POLVIO-04-67,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,N1,numeric_delta,NOI-04B34B55,draft,add,5772,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,N1,numeric_delta,NOI-28CBBE92,final,add,6627,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,N1,numeric_delta,NOI-2B849ED3,final,add,8027,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,N1,numeric_delta,NOI-828DE299,draft,add,4752,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,N1,numeric_delta,NOI-91845605,final,add,2225,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,T1,text_candidate,NOI-1D21C200,draft,,,,,,,,,,,recact_primary,85,3,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,T1,text_candidate,NOI-589ACEA3,final,,,,,,,,,,,recact_secondary,84,4,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,T1,text_candidate,NOI-65A4F35D,final,,,,,,,,,,,recact_exception,86,2,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,1,T1,text_candidate,NOI-B154F9C0,final,,,,,,,,,,,recact_primary,88,0,decoy from unselected or invalid packet
record,PKT-4062C0,,,,,,2,T1,text_candidate,NOI-CF22A10D,draft,,,,,,,,,,,recact_secondary,87,1,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L1,list_action,NOI-64871C16,final,,,,include,NORSKU-04-40,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,L1,list_action,NOI-6ED87AF4,draft,,,,include,NORSKU-04-70,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,L1,list_action,NOI-82F05650,draft,,,,include,NORSKU-04-69,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L1,list_action,NOI-9009D976,final,,,,include,NORSKU-04-99,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L1,list_action,NOI-EC38E85E,final,,,,include,NORSKU-04-48,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,L2,list_action,NOI-002D9C7B,draft,,,,include,REFIDS-04-30,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,L2,list_action,NOI-01259E22,draft,,,,include,REFIDS-04-27,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L2,list_action,NOI-183E6628,final,,,,include,REFIDS-04-68,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L2,list_action,NOI-42459BB2,final,,,,include,REFIDS-04-49,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L2,list_action,NOI-DD685491,final,,,,include,REFIDS-04-71,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,L3,list_action,NOI-17B19089,draft,,,,include,POLVIO-04-29,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L3,list_action,NOI-4279B722,final,,,,include,POLVIO-04-98,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L3,list_action,NOI-B47F2BE7,final,,,,include,POLVIO-04-101,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,L3,list_action,NOI-CCFC9701,draft,,,,include,POLVIO-04-32,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,L3,list_action,NOI-D9855C85,final,,,,include,POLVIO-04-55,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,N1,numeric_delta,NOI-04AE41BC,draft,add,6820,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,N1,numeric_delta,NOI-24D8B553,final,add,2301,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,N1,numeric_delta,NOI-9428022D,final,add,7166,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,N1,numeric_delta,NOI-D8D148CE,draft,add,2994,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,N1,numeric_delta,NOI-EAF93794,final,add,2640,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,T1,text_candidate,NOI-0A35F8B0,draft,,,,,,,,,,,recact_primary,85,3,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,T1,text_candidate,NOI-3FF2A043,final,,,,,,,,,,,recact_exception,86,2,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,T1,text_candidate,NOI-4011FE5C,final,,,,,,,,,,,recact_primary,88,0,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,2,T1,text_candidate,NOI-5495DAB2,draft,,,,,,,,,,,recact_secondary,87,1,decoy from unselected or invalid packet
record,PKT-422E6F,,,,,,1,T1,text_candidate,NOI-6CBB62F3,final,,,,,,,,,,,recact_secondary,84,4,decoy from unselected or invalid packet
